State,Literacy Rate,Per Capita Income,Population Density,Unemployment Rate
Andhra Pradesh,67.02,242479,308,50
Arunachal Pradesh,65.38,199992,17,72.5
Assam,72.19,135787,398,56
Bihar,61.8,68828,1106,53
Chhattisgarh,70.28,147361,189,44
Goa,88.7,492648,394,106
Gujarat,78.03,297722,308,20.5
Haryana,75.55,325759,573,49.5
Himachal Pradesh,82.8,235199,123,50
Jharkhand,66.41,115960,414,23.5
Karnataka,75.36,332926,319,37.5
Kerala,94,281001,860,91.5
Madhya Pradesh,69.32,142565,236,29.5
Maharashtra,82.34,277603,365,48
Manipur,76.94,125937,128,54
Meghalaya,74.43,136948,132,86.5
Mizoram,91.33,215144,52,70.5
Nagaland,79.55,145537,119,80.5
Odisha,72.87,163101,270,43
Punjab,75.84,196505,551,58
Rajasthan,66.11,167964,200,68.5
Sikkim,81.42,587743,86,18.5
Tamil Nadu,80.33,315220,555,26
Telangana,67.02,356564,307,56.5
Tripura,87.22,177723,350,51
Uttar Pradesh,67.68,104126,829,50
Uttarakhand,78.82,260201,189,57.5
West Bengal,76.26,154119,1028,35